"album_name","album_release","track_number","track_name","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit"
"Lover",2019-08-23,8,"Paper Rings",0.811,0.719,0.221156648582988,1,0.0497,0.0129,1.36e-05,0.0742,0.865,0.252486038294962,FALSE
"Lover",2019-08-23,9,"Cornelia Street",0.824,0.624,0.106463318705131,1,0.0827,0.781,0.000189,0.1,0.248,0.238474470025074,FALSE
"Lover",2019-08-23,10,"Death By A Thousand Cuts",0.712,0.732,0.211154334065884,1,0.0629,0.454,0,0.319,0.313,0.181908194666059,FALSE
"Lover",2019-08-23,11,"London Boy",0.695,0.71,0.216820329460461,1,0.05,0.0246,0.000104,0.133,0.557,0.636760599498518,FALSE
"Lover",2019-08-23,12,"Soon You'll Get Better",0.433,0.182,0.0553859998277357,1,0.0641,0.907,0,0.123,0.421,0.9897281741509,FALSE
"Lover",2019-08-23,13,"False God",0.739,0.32,0.0819973845457475,0,0.239,0.736,0.000147,0.111,0.351,0.0814622749031228,FALSE
"Lover",2019-08-23,14,"You Need To Calm Down",0.771,0.671,0.274346863852402,1,0.0553,0.00929,0,0.0637,0.714,0.117477775245042,FALSE
"Lover",2019-08-23,15,"Afterglow",0.756,0.449,0.133475021658095,1,0.0344,0.13,0,0.114,0.399,0.302577216776841,FALSE
"Lover",2019-08-23,16,"ME!",0.61,0.83,0.388597497954393,1,0.0571,0.033,0,0.118,0.728,0.809408479598815,FALSE
"Lover",2019-08-23,17,"It's Nice To Have A Friend",0.737,0.175,0.10204694319422,1,0.0401,0.971,0.000337,0.171,0.545,0.0104997720537952,FALSE
"Lover",2019-08-23,18,"Daylight",0.557,0.496,0.109597336552381,1,0.0563,0.808,0.000173,0.0772,0.265,0.580187200820606,FALSE
"folklore",2020-07-24,1,"the 1",0.78,0.361,0.202208775840144,1,0.048,0.75,7.14e-06,0.108,0.163,0.508377023022566,TRUE
"folklore",2020-07-24,2,"cardigan",0.612,0.58,0.138931268173676,0,0.0419,0.525,0.000414,0.26,0.534,0.438162468657397,FALSE
"folklore",2020-07-24,3,"the last great american dynasty",0.688,0.653,0.139379852311282,1,0.0403,0.481,0.00414,0.106,0.701,0.5659975495783,TRUE
"folklore",2020-07-24,4,"exile",0.31,0.374,0.142429516497329,1,0.0275,0.761,2.46e-05,0.11,0.16,0.0527410531114657,FALSE
"folklore",2020-07-24,5,"my tears ricochet",0.456,0.265,0.0858420340887521,1,0.0328,0.814,0,0.0679,0.112,0.437464383405516,FALSE
"folklore",2020-07-24,6,"mirrorball",0.549,0.417,0.0985371506858619,1,0.035,0.686,1.9e-06,0.0604,0.347,0.29635143606109,FALSE
"folklore",2020-07-24,7,"seven",0.602,0.494,0.0829277724857124,1,0.0277,0.888,2.59e-05,0.0902,0.374,0.188205208570777,FALSE
"folklore",2020-07-24,8,"august",0.387,0.634,0.119618953880618,1,0.0363,0.553,6.93e-05,0.0931,0.42,0.14982476635514,FALSE
"folklore",2020-07-24,9,"this is me trying",0.511,0.478,0.103824536265331,1,0.0322,0.312,2.3e-05,0.147,0.408,0.47974128105767,FALSE
"folklore",2020-07-24,10,"illicit affairs",0.529,0.304,0.087760684113662,1,0.0356,0.862,0,0.108,0.44,0.363616936403009,FALSE
"folklore",2020-07-24,11,"invisible string",0.651,0.459,0.0771258564989214,0,0.0507,0.859,6.63e-05,0.105,0.454,0.106287041258263,FALSE
"folklore",2020-07-24,12,"mad woman",0.593,0.7,0.125429589230232,1,0.0492,0.67,6.77e-06,0.116,0.451,0.52259516754046,TRUE
"folklore",2020-07-24,13,"epiphany",0.317,0.254,0.0428647208702384,1,0.0286,0.727,0.000326,0.0867,0.103,0.180925176658309,FALSE
"folklore",2020-07-24,14,"betty",0.595,0.376,0.13283117061069,1,0.0256,0.589,0,0.0989,0.476,0.195264417597447,TRUE
"folklore",2020-07-24,15,"peace",0.644,0.284,0.0515347294020903,1,0.0821,0.916,1.5e-05,0.0909,0.328,0.580821176202416,TRUE
"folklore",2020-07-24,16,"hoax",0.676,0.178,0.0315500462337463,1,0.0394,0.964,7.9e-06,0.135,0.404,0.358345680419421,FALSE
"folklore",2020-07-24,17,"the lakes",0.313,0.258,0.0702748617656134,1,0.0383,0.842,1.3e-06,0.0948,0.268,0.793630328242535,FALSE
"evermore",2020-12-11,1,"willow",0.392,0.574,0.120364938979121,1,0.17,0.833,0.00179,0.145,0.529,0.0895971050832003,FALSE
"evermore",2020-12-11,2,"champagne problems",0.462,0.24,0.0619869117636061,1,0.0377,0.92,0,0.113,0.32,0.732170332801459,TRUE
"evermore",2020-12-11,3,"gold rush",0.512,0.462,0.0893099816223518,1,0.0408,0.83,0.166,0.121,0.353,0.309978345110554,TRUE
"evermore",2020-12-11,4,"'tis the damn season",0.575,0.434,0.151600278805367,1,0.0312,0.735,6.59e-05,0.105,0.348,0.551216662867563,FALSE
"evermore",2020-12-11,5,"tolerate it",0.316,0.361,0.0916009546844429,1,0.0488,0.878,2.67e-05,0.0797,0.221,0.0457174606792796,TRUE
"evermore",2020-12-11,6,"no body, no crime",0.546,0.613,0.174220798542373,0,0.0264,0.418,0,0.103,0.535,0.0746595053567358,FALSE
"evermore",2020-12-11,7,"happiness",0.559,0.334,0.0844695148844578,1,0.0376,0.87,0,0.114,0.211,0.381418110325963,TRUE
"evermore",2020-12-11,8,"dorothea",0.605,0.488,0.147163463356571,1,0.0264,0.696,0,0.129,0.354,0.366366537497151,FALSE
"evermore",2020-12-11,9,"coney island",0.537,0.537,0.0747136579828431,1,0.0617,0.819,0.000904,0.142,0.292,0.280380955094598,FALSE
"evermore",2020-12-11,10,"ivy",0.515,0.545,0.118113625393405,1,0.0353,0.855,1.97e-05,0.0921,0.535,0.144760086619558,TRUE
"evermore",2020-12-11,11,"cowboy like me",0.604,0.517,0.125487364993048,1,0.0347,0.768,0.000155,0.123,0.511,0.42336021198997,TRUE
"evermore",2020-12-11,12,"long story short",0.546,0.73,0.169668023234646,1,0.0417,0.66,0.179,0.0972,0.573,0.636546899931616,FALSE
"evermore",2020-12-11,13,"marjorie",0.535,0.561,0.0690398755727843,1,0.0484,0.876,0.000136,0.115,0.287,0.196382778664235,FALSE
"evermore",2020-12-11,14,"closure",0.689,0.704,0.0829277724857124,1,0.245,0.835,4.83e-06,0.134,0.92,0.59372863004331,FALSE
"evermore",2020-12-11,15,"evermore",0.39,0.27,0.0856446028890058,1,0.0308,0.937,0.00227,0.111,0.32,0.403486152268065,FALSE
"evermore",2020-12-11,16,"right where you left me",0.581,0.619,0.222638362955291,1,0.0282,0.769,0.000106,0.117,0.645,0.494222988374743,FALSE
"evermore",2020-12-11,17,"it's time to go",0.592,0.41,0.0572005230415928,1,0.0397,0.801,1.39e-05,0.09,0.416,0.594006439480283,FALSE
"Midnights",2022-10-21,1,"Lavender Haze",0.735,0.444,0.0887360310778668,1,0.0684,0.204,0.0012,0.17,0.0984,0.203043081832687,TRUE
"Midnights",2022-10-21,2,"Maroon",0.658,0.378,0.147910838816821,1,0.0379,0.0593,0,0.0976,0.0382,0.281371096421245,TRUE
"Midnights",2022-10-21,3,"Anti-Hero",0.638,0.634,0.219684795392972,1,0.0457,0.133,1.23e-06,0.152,0.519,0.202437599726465,FALSE
"Midnights",2022-10-21,4,"Snow On The Beach",0.659,0.323,0.0454464537209509,1,0.0436,0.735,0.00321,0.116,0.154,0.295425404604513,TRUE
"Midnights",2022-10-21,5,"You're On Your Own, Kid",0.694,0.38,0.0931751284201956,1,0.0614,0.416,8.47e-06,0.126,0.376,0.366922156371096,FALSE
"Midnights",2022-10-21,6,"Midnight Rain",0.636,0.377,0.0672821715521548,1,0.0708,0.71,6.51e-05,0.115,0.23,0.508832915431958,FALSE
"Midnights",2022-10-21,7,"Question...?",0.751,0.502,0.13252566739591,1,0.162,0.226,0,0.297,0.112,0.288173865967632,TRUE
"Midnights",2022-10-21,8,"Vigilante Shit",0.87,0.279,0.0770193767609796,0,0.364,0.16,1.74e-05,0.121,0.16,0.081647481194438,TRUE
"Midnights",2022-10-21,9,"Bejeweled",0.7,0.55,0.122179966016487,1,0.0653,0.0661,0.000102,0.091,0.412,0.680056131752906,FALSE
"Midnights",2022-10-21,10,"Labyrinth",0.487,0.313,0.028615411789812,1,0.0487,0.791,0.348,0.124,0.141,0.295653350809209,FALSE
"Midnights",2022-10-21,11,"Karma",0.649,0.622,0.197060690398911,1,0.0582,0.074,0,0.594,0.106,0.15308012309095,TRUE
"Midnights",2022-10-21,12,"Sweet Nothing",0.334,0.161,0.0325461783498046,1,0.0506,0.967,4.71e-05,0.115,0.396,0.770835707772966,FALSE
"Midnights",2022-10-21,13,"Mastermind",0.661,0.352,0.039111097238893,1,0.117,0.571,0.00147,0.0884,0.13,0.408878504672897,FALSE
"Midnights",2022-10-21,14,"The Great War",0.573,0.741,0.126269947529497,1,0.0353,0.219,2.23e-05,0.0842,0.554,0.195763049920219,FALSE
"Midnights",2022-10-21,15,"Bigger Than The Whole Sky",0.422,0.235,0.0578229174266034,1,0.0568,0.826,0.00648,0.115,0.068,0.692215637109642,FALSE
"Midnights",2022-10-21,16,"Paris",0.7,0.509,0.0881657690262191,1,0.0789,0.112,3.27e-05,0.137,0.345,0.302121324367449,FALSE
"Midnights",2022-10-21,17,"High Infidelity",0.646,0.529,0.0959621567110341,1,0.0864,0.723,0,0.0885,0.755,0.137679507636198,FALSE
"Midnights",2022-10-21,18,"Glitch",0.675,0.466,0.10621845986687,0,0.201,0.361,0,0.11,0.347,0.515229655801231,FALSE
"Midnights",2022-10-21,19,"Would've, Could've, Should've",0.483,0.84,0.223460105773122,1,0.119,0.43,0.000575,0.146,0.55,0.637145258718942,FALSE
"Midnights",2022-10-21,20,"Dear Reader",0.562,0.388,0.0618301072751714,1,0.0705,0.481,0.00145,0.117,0.159,0.27932670389788,FALSE
